,date,open,close,high,low,volume
148,2018-04-03,12.5996,13.305,13.9701,12.2114,5149823.24
149,2018-04-04,13.2788,12.21,13.4889,12.0,5112820.69
150,2018-04-05,12.2098,12.4888,12.65,12.093,4295442.59
151,2018-04-06,12.4888,12.2599,12.7001,12.0115,3151837.66
152,2018-04-07,12.26,12.5,12.6487,12.22,3256833.91
153,2018-04-08,12.5,12.1311,12.5216,12.11,3085224.78
154,2018-04-09,12.1244,11.8888,12.55,11.51,3011093.55
155,2018-04-10,11.8832,12.0904,12.441,11.77,3449392.51
156,2018-04-11,12.1121,12.33,12.33,11.77,3394146.16
157,2018-04-12,12.33,13.0087,13.034,11.85,4889173.13
158,2018-04-13,13.0087,13.52,13.82,12.6961,5339975.42
159,2018-04-14,13.52,13.2888,13.88,12.9174,3521128.98
160,2018-04-15,13.2865,13.0989,13.62,12.9,3854973.61
161,2018-04-16,13.0985,12.2342,13.0997,12.011,2709514.47
162,2018-04-17,12.2342,11.777,12.4848,11.6658,2444511.0
163,2018-04-18,11.777,12.2999,12.45,11.511,2739464.35
164,2018-04-19,12.2999,12.361,12.44,12.02,2401088.65
165,2018-04-20,12.3502,12.5858,12.7241,11.85,2737433.33
166,2018-04-21,12.574,13.3302,13.74,12.38,4556037.09
167,2018-04-22,13.3689,12.8888,13.3987,12.8,2564431.16
168,2018-04-23,12.8887,13.645,13.8644,12.82,4448320.55
169,2018-04-24,13.6449,15.0895,15.6805,13.6096,4773630.91
170,2018-04-25,15.0786,13.3999,15.9,12.91,5198344.23
171,2018-04-26,13.3999,14.63,14.75,13.1855,4222900.08
172,2018-04-27,14.6299,14.2396,14.7854,14.1075,2886054.25
173,2018-04-28,14.2493,15.2011,15.4,14.1628,3784189.33
174,2018-04-29,15.1672,15.0489,15.436,14.5001,2829207.93
175,2018-04-30,15.0489,14.3291,15.15,14.04,2063155.39
176,2018-05-01,14.3271,14.1711,14.3288,13.5,1987546.78
177,2018-05-02,14.1421,14.439,14.44,13.9001,2097270.4
178,2018-05-03,14.4389,14.6999,14.8599,14.1799,2502529.16
179,2018-05-04,14.6493,14.3622,14.7499,14.25,1875629.56
180,2018-05-05,14.3621,14.4468,14.57,14.21,1877245.04
181,2018-05-06,14.444,14.012,14.9384,13.5495,2099311.5
182,2018-05-07,13.9993,13.71,14.0764,12.915,1651401.64
183,2018-05-08,13.7191,13.4981,13.9733,13.0001,1439759.01
184,2018-05-09,13.5,14.6417,14.8,13.02,2600990.7
185,2018-05-10,14.6266,13.7957,15.05,13.7323,1653996.3
186,2018-05-11,13.7737,12.9884,14.13,12.5211,1567764.99
187,2018-05-12,12.9603,12.9319,13.27,12.1242,1272138.32
188,2018-05-13,12.9319,13.1515,13.5794,12.6186,1879918.95
