,date,open,close,high,low,volume
98,2018-09-03,6.6386,6.4649,6.719,6.3834,11189975.03
99,2018-09-04,6.4668,6.48,6.64,6.3327,12281351.21
100,2018-09-05,6.48,5.1511,6.58,5.0952,16739077.82
101,2018-09-06,5.1498,5.2363,5.2656,4.85,15053327.18
102,2018-09-07,5.2339,5.0515,5.35,4.93,12515313.61
103,2018-09-08,5.0504,4.745,5.1469,4.63,12253396.81
104,2018-09-09,4.7426,4.9449,5.1895,4.6501,14468610.64
105,2018-09-10,4.9449,5.0286,5.12,4.887,12480946.54
106,2018-09-11,5.0343,4.9865,5.096,4.72,13071963.25
107,2018-09-12,4.9849,4.945,4.988,4.75,10668222.16
108,2018-09-13,4.9468,5.38,5.5555,4.923,15282999.29
109,2018-09-14,5.3844,5.2196,5.536,5.1293,12062133.24
110,2018-09-15,5.2195,5.3401,5.52,5.21,10294566.5
111,2018-09-16,5.3399,5.409,5.49,5.1975,10006590.53
112,2018-09-17,5.4069,4.8398,5.4831,4.6745,14189706.28
113,2018-09-18,4.8431,5.0565,5.268,4.7719,11968752.83
114,2018-09-19,5.0507,5.2369,5.3451,4.91,11557489.81
115,2018-09-20,5.2381,5.7432,5.8582,5.1813,12196969.94
116,2018-09-21,5.7432,6.1901,6.2732,5.6,13964071.13
117,2018-09-22,6.1859,5.9481,6.3,5.7611,6891666.21
118,2018-09-23,5.9429,6.0263,6.1555,5.8104,7827471.98
119,2018-09-24,6.0265,5.6679,6.0405,5.5882,6324359.4
120,2018-09-25,5.6752,5.4194,5.6755,5.01,13107074.59
121,2018-09-26,5.4216,5.55,5.77,5.2301,13589930.21
122,2018-09-27,5.5518,5.8253,5.9632,5.3464,13301558.47
123,2018-09-28,5.8253,5.7562,6.0242,5.6581,13991389.18
124,2018-09-29,5.7562,5.7439,5.8543,5.4521,11890491.74
125,2018-09-30,5.7452,5.7257,5.916,5.3587,14404746.48
126,2018-10-01,5.7259,5.7376,5.85,5.5155,9502063.72
127,2018-10-02,5.7331,5.6163,5.79,5.5344,11317245.16
128,2018-10-03,5.6096,5.6153,5.689,5.4431,12220807.4
129,2018-10-04,5.6153,5.8008,5.91,5.6026,13111708.54
130,2018-10-05,5.8017,5.82,5.9,5.6502,13095178.01
131,2018-10-06,5.8217,5.73,5.853,5.6666,14095923.21
132,2018-10-07,5.73,5.763,5.8,5.6239,13803783.81
133,2018-10-08,5.7585,5.9369,6.0298,5.723,14268017.55
134,2018-10-09,5.9369,5.9214,5.9817,5.84,11960473.4
135,2018-10-10,5.9237,5.9197,5.9648,5.81,12939478.14
136,2018-10-11,5.9197,5.0965,5.9237,5.02,8380207.78
137,2018-10-12,5.0965,5.199,5.3279,5.0151,8327490.77
138,2018-10-13,5.1988,5.2948,5.345,5.17,7431030.63
139,2018-10-14,5.3022,5.2149,5.3439,5.1638,7676548.92
140,2018-10-15,5.2105,5.5925,6.05,5.1448,13959008.4
141,2018-10-16,5.5924,5.574,5.6785,5.4991,6878185.15
142,2018-10-17,5.5754,5.5704,5.6284,5.501,7355935.41
143,2018-10-18,5.5716,5.4555,5.64,5.35,7523742.22
144,2018-10-19,5.4555,5.3979,5.485,5.366,5710435.93
145,2018-10-20,5.3921,5.4534,5.5114,5.3784,7225211.7
146,2018-10-21,5.4559,5.5125,5.6438,5.4517,7763496.2
147,2018-10-22,5.5108,5.4704,5.5556,5.44,4444993.85
148,2018-10-23,5.4704,5.4847,5.5287,5.4077,1959410.87
149,2018-10-24,5.4846,5.4388,5.52,5.4264,1569284.58
150,2018-10-25,5.439,5.4276,5.4678,5.401,1125763.24
151,2018-10-26,5.4279,5.441,5.5063,5.381,2410054.7
152,2018-10-27,5.4444,5.4192,5.48,5.4,2659755.4
153,2018-10-28,5.4191,5.4342,5.4639,5.411,2339153.77
154,2018-10-29,5.4343,5.1563,5.4465,5.0633,2598869.65
155,2018-10-30,5.1533,5.1451,5.1891,5.11,1440371.01
156,2018-10-31,5.1422,5.2537,5.3175,5.085,1888942.3
157,2018-11-01,5.2538,5.2827,5.31,5.2291,1496824.25
158,2018-11-02,5.2877,5.3979,5.4187,5.2854,1707731.11
159,2018-11-03,5.3965,5.3298,5.405,5.2951,1351375.85
160,2018-11-04,5.3276,5.5442,5.6153,5.3,2438189.48
161,2018-11-05,5.5443,5.5051,5.5665,5.4249,1923200.63
162,2018-11-06,5.5037,5.7781,5.7857,5.491,2604667.12
163,2018-11-07,5.7809,5.6817,5.84,5.613,2532908.51
164,2018-11-08,5.6811,5.5246,5.7084,5.505,2011772.29
165,2018-11-09,5.523,5.4046,5.5769,5.37,1533390.85
166,2018-11-10,5.405,5.4279,5.4682,5.3709,749495.23
167,2018-11-11,5.4278,5.4886,5.5198,5.272,903405.63
168,2018-11-12,5.4822,5.4549,5.527,5.3759,920877.2
169,2018-11-13,5.4557,5.2976,5.4766,5.156,1693556.46
170,2018-11-14,5.2976,4.7745,5.3195,4.4595,6025781.04
171,2018-11-15,4.7738,4.771,4.8141,4.269,5673654.42
172,2018-11-16,4.771,4.6027,4.8145,4.5001,2531681.96
173,2018-11-17,4.6011,4.6311,4.651,4.5246,1607138.12
174,2018-11-18,4.6303,4.6425,4.7173,4.5678,1450146.07
175,2018-11-19,4.6497,4.13,4.6501,4.015,6704588.55
176,2018-11-20,4.1299,3.8087,4.258,3.402,11622620.92
177,2018-11-21,3.8092,3.8568,3.98,3.6234,6244159.05
178,2018-11-22,3.8594,3.5232,3.916,3.5063,4326526.21
179,2018-11-23,3.5305,3.6588,3.7392,3.403,7435123.4
180,2018-11-24,3.6588,3.3063,3.75,3.2,6796709.46
181,2018-11-25,3.3057,3.405,3.5162,3.04,12105935.03
182,2018-11-26,3.405,3.2512,3.4728,3.1204,9249797.24
183,2018-11-27,3.2531,3.0394,3.2564,2.87,7076036.35
184,2018-11-28,3.0427,3.274,3.3623,3.0408,6373770.73
185,2018-11-29,3.2753,3.0255,3.3,2.9,8012933.87
186,2018-11-30,3.0243,2.8921,3.0708,2.7988,6395295.43
187,2018-12-01,2.8904,2.9404,3.0244,2.824,3522585.91
188,2018-12-02,2.9379,2.8605,3.015,2.8051,2898250.12
189,2018-12-03,2.8628,2.5891,2.89,2.5252,4760372.19
190,2018-12-04,2.5912,2.4503,2.6279,2.3046,8192843.31
191,2018-12-05,2.4493,2.1895,2.4671,2.1628,9720596.1
192,2018-12-06,2.1901,1.8438,2.2679,1.8328,13003062.31
193,2018-12-07,1.8446,1.7271,1.8674,1.528,18209498.54
194,2018-12-08,1.7286,1.8056,1.9448,1.6124,16478683.08
195,2018-12-09,1.8058,1.9855,2.1108,1.7216,15413728.28
196,2018-12-10,1.9869,1.9049,2.058,1.86,14127134.18
197,2018-12-11,1.9048,1.8318,1.928,1.757,10371380.29
198,2018-12-12,1.8322,1.9546,2.0289,1.8019,9502179.87
199,2018-12-13,1.9547,1.8437,1.9785,1.8133,11501688.07
200,2018-12-14,1.8441,1.818,1.8836,1.7548,9779462.5
201,2018-12-15,1.8179,1.8855,1.92,1.783,7634933.36
202,2018-12-16,1.8839,1.904,1.9738,1.8733,6663434.89
203,2018-12-17,1.9036,2.3684,2.4757,1.8973,21778917.43
204,2018-12-18,2.3696,2.6149,2.6907,2.34,26093249.64
205,2018-12-19,2.615,2.4323,2.782,2.42,21118523.12
206,2018-12-20,2.4318,2.6902,2.7561,2.403,17133735.41
207,2018-12-21,2.6903,2.5815,2.8,2.4724,14400752.61
208,2018-12-22,2.5815,2.5755,2.6165,2.453,7684214.28
209,2018-12-23,2.5771,2.7774,2.9346,2.5534,12875451.75
210,2018-12-24,2.7775,2.7407,3.0842,2.7201,16866538.25
211,2018-12-25,2.7407,2.48,2.7445,2.3725,15615090.51
